Id,MaxT,MinT,Dayname,Day,Distric1_Get,Distric2_Get,Distric3_Get,Distric4_Get,Distric5_Get,Total_Well,Daily_use,TotalMass_Distric1,TotalMass_Distric2,TotalMass_Distric3,TotalMass_Distric4,TotalMass_Distric5,Entrance_Distric1,Entrance_Distric2,Entrance_Distric3,Entrance_Distric4,Entrance_Distric5,Rainy_Distric1,Rainy_Distric2,Rainy_Distric3,Rainy_Distric4,Rainy_Distric5,save_tank_6AM,save_tank_24,Pecks
1,18,9,sunday,3/20/21,575919,236149,641900,199841,436369,536960,2711981,115.271,282.52,35.978,24.157,140.513,20.643,20.496,16.441,9.36,6.411,0,0,0,0,0,1380168,1242125,0
2,21,10,monday,3/22/21,573981,235923,609300,186841,421221,561158,2694291,116.317,283.612,36.623,24.392,140.175,18.847,17.347,16.146,10.442,6.557,0,0,0,0,0,1344776,1246362,0
3,22,13,tuesday,3/23/21,523956,236004,620900,207815,438490,518836,2726928,117.45,284.886,37.319,24.556,139.893,20.764,19.454,16.581,9.632,7.316,0,0.4,0,0,0,1356592,1166159,0
4,26,14,wednesday,3/24/21,458568,236130,674700,207814,439505,649992,2749685,119.137,286.342,38.275,25.53,139.667,26.042,21.584,20.385,19.117,7.783,0,0,0,0,0,1380565,1186380,0
5,23,16,thursday,3/25/21,571480,236187,649041,211814,445846,541511.5,2674699,122.347,290.619,40.084,27.478,139.498,43.776,54.226,29.779,33.978,8.486,0.5,3.4,2.3,18.2,1,1438920,1276577,0
6,23,13,friday,3/26/21,575918,235904,683000,221826,439083,446511,2742215,125.049,293.531,41.587,29.13,139.272,38.198,38.415,26.962,26.848,7.87,0,0,0,0,0,1382317,1230029,0
7,23,13,saturday,3/27/21,585065,235425,700900.1,210405,443059,474486,2773540,127.107,295.806,42.526,30.888,139.272,30.561,31.035,21.24,27.821,10.654,0,0,0,0,0,1394855,1221155,0
8,15,5,sunday,3/28/21,595918,235166,687100,208814,441033,468990,2749582,128.837,297.717,43.288,32.454,139.272,26.74,26.798,19.849,25.853,10.641,0,0,0,0,0,1402056,1227020,0
9,15,4,monday,3/29/21,515282,235787,680900,211814,440640,501960,2706996,130.379,299.264,43.914,34.035,139.272,24.05,22.603,18.729,25.876,10.522,0,0,0,0,0,1459489,1229884,0
10,18,8,tuesday,3/30/21,449028,235962,727700.3,212814,444038,590517.5,2689210,131.817,300.902,44.412,35.746,139.216,22.89,23.659,18.276,27.381,11.605,0,0,0,0,0,1400400,1301948,0
11,18,9,wednesday,3/31/21,469902,235857,681900,210814,444159,494399,2759922,133.387,302.722,44.874,37.51,138.934,23.2,25.774,17.555,27.994,12.415,0,0,0,0,0,1349792,1183733,0
12,20,15,thursday,4/1/21,469280,235651,703600,216814,439136,581478,2829009,134.91,304.178,45.337,39.415,138.708,22.82,21.568,18.173,29.626,12.902,0,0,0,0.1,0,1348888,1120309,0
13,25,14,friday,4/2/21,451919,236207,710199.8,216815,443212,792242.5,2900361,136.776,305.907,45.871,42.156,138.539,26.78,24.752,19.099,39.297,13.616,2.2,0,0,0.2,0,1416385,1184321,0
14,20,14,saturday,4/3/21,471587,236562,719400,219144,440640,806185.5,2956025,138.725,307.454,46.499,44.714,138.314,27.73,27.634,19.889,37.19,13.02,0,0,0,0,0,1442329,1236700,0
15,19,8,sunday,4/4/21,471963,236547,716600,215374,443232,721759,3004566,140.538,308.784,46.953,46.81,138.088,26.283,25.139,19.814,31.837,13.051,0,0,0,0,0,1383506,1156300,0
16,21,10,monday,4/5/21,463585,236418,716999.9,214815,444458,795304,3005528,141.931,310.464,47.204,48.816,137.862,23.98,29.169,18.5,30.805,13.068,0,0,0,0,0,1393585,1121220,0
17,24,13,tuesday,4/6/21,451032,236328,727300,217814,441504,905211,3063865,143.145,311.472,47.318,51.19,137.75,23.78,27.4,18.698,32.285,14.381,0,0,0,0,0,1368937,1151032,0
18,25,14,wednesday,4/7/21,469900,236185,711000,218814,445921,854061,3082906,144.303,312.48,47.409,53.674,137.637,23.02,27.41,18.5,36.227,14.368,0,0,0,0,0,1374736,1120838,0
19,27,15,thursday,4/8/21,456238,235853,714500,221814,445341,935325,3134022,145.753,314.048,47.615,56.32,137.58,26.43,33.898,19.155,38.102,15.073,0,0,0,0,0,1352400,1122847,0
20,25,19,friday,4/9/21,456983,236008,720100,223814,448415,915033,3128019,147.274,315.616,47.936,58.595,137.524,27.36,33.899,19.154,33.808,15.082,0,0,0,0.2,0,1383235,1124228,0
21,29,16,saturday,4/10/21,458031,236338,717100,221076,456768,959126,3139867,148.71,316.736,48.285,60.851,137.468,26.569,30.727,19.418,33.569,15.34,0.2,0,0,0.1,0,1418453,1171782,0
22,26,20,sunday,4/11/21,374831,236620,713300,223815,444096,987133,3152711,150.256,317.52,48.61,63.63,137.411,27.32,30.334,19.056,39.622,15.073,0,0.8,1,0.1,0,1416718,1126005,0
23,27,15,monday,4/12/21,481985,236005,709700,222815,447552,1026039,3153520,151.716,318.304,48.912,66.69,137.411,27.1,30.323,18.819,42.874,15.783,0.5,0,0,0.1,0,1440477,1200612,0
